Bill of Material for 
On 16.03.2026 at 11:49:00

"Comment,""Pattern"",""Quantity"",""Components"""

",""0603 - LED"",""8"",""LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10"","""""
",""LED SMD DayLight"",""4"",""LG2, LG3, LG4, LG5"","""""
",""mcd 1,5/6-G1-3.81"",""2"",""P1, P2"","""""
",""SOIC 18"",""1"",""D3"","""""
"1k,""0603_Res"",""16"",""R14, R15, R16, R17, R18, R19, R20, R21, R28, R29, R30, R31, R32, R33, R34, R35"","""""
"finder,""413190240010"",""8"",""F3, F4, F5, F6, F7, F8, F9, F10"","""""
