Bill of Material for 
On 16.03.2026 at 11:13:59

"Comment,""Pattern"",""Quantity"",""Components"""

",""B340A-13-F"",""3"",""D1, D2, D12"","""""
",""CDRH127/LDNP-270MC,"",""1"",""L1"","""""
",""Fuse USMF030"",""2"",""F1, F2"","""""
",""SOT223"",""1"",""U2"","""""
"100k,""0603_Res"",""1"",""R10"","""""
"100n,""0603_Cap"",""3"",""C7, C10, C15"","""""
"10k,""0603_Res"",""3"",""R2, R5, R13"","""""
"10n,""0603_Cap"",""2"",""C8, C14"","""""
"10uF,""1206_CAP"",""1"",""C3"","""""
"18p,""0603_Cap"",""1"",""C11"","""""
"1k4,""0603_Res"",""1"",""R12"","""""
"22uF,""1206_CAP"",""2"",""C2, C9"","""""
"PSU,""SOIC 8"",""1"",""U3"","""""
"TVS Diode,""SM6T"",""1"",""TVS1"","""""
