Comment,Designator,Part Description,Part Number,Quantity

"0.1u,""C57"",""0.1 uF 100 VDC 10% 0603 X7R"",""GRM188R72A104KA35D"",""1"""
"10k,""R74"",""Resistor 0603, 10kOhms, 5%, 1/10W"",""RC0603JR-0710K"",""1"""
",""SD1"",""uSD card holder"",""DM3AT-SF-PEJM5"",""1"""
