Comment,Designator,Part Description,Part Number,Quantity

",""J1"",""USB B Socket"",""USBB-1J"",""1"""
",""P1"",""PCB Header, 6-Pin, Dual row"",""MCD 1.5/6-G1-3.81"",""1"""
",""P3"",""PCB header"",""EMSTBA 2.5/5-G-5.08"",""1"""
